24.8	32.3	2.55	0.1002
33.2	27.9	2.27	0.1001
47.6	23.3	1.95	0.1000
57.5	21.2	1.80	0.1000
68.0	19.5	1.67	0.0999
81.6	17.8	1.55	0.0998
102.8	15.9	1.40	0.0998
